id;nome;email
1;Empresa de Agricultura Inteligente;agricultura_inteligente@example.com
2;Corporação de Energia Renovável;energia_renovavel@example.com
3;Indústrias Avançadas Automotivas;automotivas_avancadas@example.com
4;Companhia de Tecnologia Inovadora;tecnologia_inovadora@example.com
5;Empresa de Saúde e Bem-Estar;sau_de_bem_estar@example.com
6;Fabricante de Dispositivos Eletrônicos;dispositivos_eletronicos@example.com
7;Empresa de Logística Inteligente;logistica_inteligente@example.com
8;Corporação de Telecomunicações Avançadas;telecomunicacoes_avancadas@example.com
9;Empresa de Gestão de Resíduos Sustentáveis;gestao_residuos_sustentaveis@example.com
10;Fabricante de Equipamentos de Segurança;seguranca_equipamentos@example.com
11;Empresa de Monitoramento Ambiental;monitoramento_ambiental@example.com
12;Companhia de Tecnologia Automotiva;tecnologia_automotiva@example.com
13;Empresa de Agricultura Vertical;agricultura_vertical@example.com
14;Corporação de Energia Limpa;energia_limpa@example.com
15;Fabricante de Dispositivos Médicos;dispositivos_medicos@example.com
16;Empresa de Tecnologia da Informação;tecnologia_informacao@example.com
17;Corporação de Transporte Sustentável;transporte_sustentavel@example.com
18;Empresa de Produção Alimentícia Sustentável;producao_alimenticia_sustentavel@example.com
19;Companhia de Tecnologia de Reciclagem;tecnologia_reciclagem@example.com
20;Empresa de Desenvolvimento Urbano Sustentável;desenvolvimento_urbano_sustentavel@example.com
21;Corporação de Energia Solar;energia_solar@example.com
22;Fabricante de Veículos Elétricos;veiculos_eletricos@example.com
23;Empresa de Biotecnologia;biotecnologia@example.com
24;Corporação de Gestão de Recursos Naturais;gestao_recursos_naturais@example.com
25;Fabricante de Dispositivos de Monitoramento de Saúde;monitoramento_saude@example.com
26;Empresa de Tecnologia de Construção Sustentável;construcao_sustentavel@example.com
27;Companhia de Tecnologia de Agricultura de Precisão;agricultura_precisao@example.com
28;Empresa de Gestão de Água Inteligente;gestao_agua_inteligente@example.com
29;Corporação de Energia Eólica;energia_eolica@example.com
30;Fabricante de Equipamentos de Energia Hidrelétrica;energia_hidreletrica@example.com
31;Empresa de Desenvolvimento de Software Sustentável;desenvolvimento_software_sustentavel@example.com
32;Corporação de Tecnologia de Purificação de Ar;purificacao_ar@example.com
33;Fabricante de Equipamentos de Segurança Alimentar;seguranca_alimentar@example.com
34;Empresa de Monitoramento de Tráfego Inteligente;monitoramento_trafego_inteligente@example.com
35;Companhia de Tecnologia de Monitoramento de Resíduos;monitoramento_residuos@example.com
36;Empresa de Desenvolvimento de Aplicativos Ambientais;aplicativos_ambientais@example.com
37;Corporação de Tecnologia de Transporte Público;transporte_publico@example.com
38;Fabricante de Equipamentos de Gestão Energética;gestao_energetica@example.com
39;Empresa de Desenvolvimento de Apps de Saúde;apps_saude@example.com
40;Companhia de Tecnologia de Controle de Poluição;controle_poluicao@example.com
41;Empresa de Produção de Alimentos Orgânicos;producao_alimentos_organicos@example.com
42;Corporação de Tecnologia de Energia Geotérmica;energia_geotermica@example.com
43;Fabricante de Equipamentos de Saneamento Básico;saneamento_basico@example.com
44;Empresa de Desenvolvimento de Software de Gestão de Recursos Naturais;gestao_recursos_software@example.com
45;Companhia de Tecnologia de Monitoramento de Oceanos;monitoramento_oceanos@example.com
46;Empresa de Agricultura Inteligente;agricultura_inteligente_2@example.com
47;Corporação de Energia Renovável;energia_renovavel_2@example.com
48;Indústrias Avançadas Automotivas;automotivas_avancadas_2@example.com
49;Companhia de Tecnologia Inovadora;tecnologia_inovadora_2@example.com
50;Empresa de Saúde e Bem-Estar;sau_de_bem_estar_2@example.com
